                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.2987,                 1.3499,                 1.4512,                 1.4517,                 1.7333,                 1.3838,                0.16878,                0.23251,                0.09855,                0.04606,                 2.0017,                 5.0177,                 2.1383,                 1.9872,                 4.2989,                 1.8458,              0.0018772,              0.0018772,              0.0018772
                     34,                 1.3305,                 1.3556,                 1.4487,                 1.4652,                 1.7124,                 1.3925,                0.18829,                0.26179,                0.10697,                0.04221,                 2.0325,                 4.5952,                 2.1448,                 2.0774,                  4.182,                 1.9399,              0.0018733,              0.0018733,              0.0018733
                     35,                 1.2962,                 1.3303,                 1.4257,                 1.4646,                 1.6906,                  1.383,                0.22244,                0.30057,                0.14029,                0.05925,                 1.8681,                 4.1644,                 1.9646,                 2.0205,                 3.8308,                 1.9227,              0.0018693,              0.0018693,              0.0018693
                     36,                 1.3015,                 1.3239,                 1.4131,                 1.4808,                 1.6875,                 1.3739,                0.18028,                0.32428,                0.13776,                0.06522,                 1.8198,                 4.5178,                 1.8616,                 1.9209,                 4.1645,                 1.7834,              0.0018654,              0.0018654,              0.0018654
                     37,                 1.2882,                 1.3169,                  1.411,                 1.4361,                 1.6798,                 1.3684,                0.17506,                 0.2552,                0.09739,                0.04039,                 2.0297,                 4.4111,                  2.133,                 2.0696,                  3.848,                 1.9342,              0.0018614,              0.0018614,              0.0018614
                     38,                 1.2666,                 1.2873,                 1.4207,                 1.4024,                 1.6171,                 1.3741,                0.22701,                0.34026,                0.17813,                0.07423,                 1.8532,                 3.1894,                  1.854,                 1.9073,                 3.4084,                 1.7342,              0.0018574,              0.0018574,              0.0018574
                     39,                 1.2641,                 1.2492,                 1.4005,                 1.4259,                 1.6078,                 1.3622,                0.11815,                 0.2344,                0.07017,                0.02651,                 2.3719,                 5.5929,                 2.4622,                 2.2725,                 5.2636,                 2.0764,              0.0018535,              0.0018535,              0.0018535
                     40,                 1.2506,                 1.2622,                  1.397,                 1.3852,                  1.612,                 1.3515,                0.17947,                0.26843,                0.11347,                0.04576,                 2.0629,                 3.3316,                 2.1462,                 2.1121,                 3.6459,                 1.9711,              0.0018495,              0.0018495,              0.0018495
                     41,                  1.247,                 1.2296,                 1.3773,                 1.4081,                   1.56,                 1.3447,                0.34539,                0.35161,                0.24192,                0.10763,                 1.7739,                 2.5271,                 1.7822,                  1.852,                 2.7915,                   1.69,              0.0018456,              0.0018456,              0.0018456
                     42,                 1.2455,                 1.2442,                 1.3749,                 1.4238,                 1.5715,                 1.3426,                0.30573,                0.31947,                0.22616,                0.09467,                 1.8983,                 2.3278,                 1.9057,                 2.0079,                 2.6883,                 1.7826,              0.0018416,              0.0018416,              0.0018416
                     43,                 1.2484,                 1.2434,                 1.3863,                 1.4263,                 1.5765,                 1.3494,                0.16582,                0.17202,                0.09211,                0.04691,                 2.0592,                 3.6532,                 2.1319,                 2.0881,                 3.8742,                 1.9495,              0.0018376,              0.0018376,              0.0018376
                     44,                 1.2471,                 1.2465,                 1.3888,                 1.4328,                 1.5673,                 1.3602,                 0.3059,                0.34405,                0.25611,                0.11649,                 1.9098,                 2.3797,                 1.8781,                 1.9514,                 2.7639,                 1.7262,              0.0018337,              0.0018337,              0.0018337
                     45,                 1.2539,                 1.2482,                 1.3948,                  1.441,                 1.5698,                 1.3675,                0.18382,                0.31421,                0.11012,                0.05636,                 1.8349,                 3.4472,                 1.8649,                 1.8845,                 3.7553,                 1.6959,              0.0018297,              0.0018297,              0.0018297
                     46,                 1.2313,                 1.2287,                 1.3858,                 1.3896,                 1.5387,                 1.3476,                0.28982,                 0.3327,                0.21471,                0.09869,                 1.8478,                  2.616,                 1.8366,                 1.8681,                 2.9681,                  1.684,              0.0018258,              0.0018258,              0.0018258
                     47,                  1.224,                  1.193,                 1.3597,                 1.4107,                 1.5153,                 1.3354,                0.30401,                0.38891,                0.22754,                0.10335,                 1.7764,                 2.4371,                 1.7974,                 1.8398,                 2.7913,                 1.6424,              0.0018218,              0.0018218,              0.0018218
                     48,                 1.1998,                 1.1815,                 1.3512,                 1.3622,                 1.4862,                 1.3259,                0.27393,                0.31947,                0.20261,                0.08784,                 1.8587,                 3.2266,                 1.9061,                 1.9221,                 3.3516,                 1.7632,              0.0018178,              0.0018178,              0.0018178
                     49,                 1.2115,                 1.1805,                 1.3639,                  1.407,                 1.5114,                 1.3411,                0.28269,                0.32892,                 0.1883,                0.08712,                 1.9118,                 3.6033,                 2.0008,                 1.9344,                 4.0598,                 1.8086,              0.0018139,              0.0018139,              0.0018139
                     50,                 1.1761,                 1.1434,                 1.3459,                 1.3502,                 1.4703,                 1.3245,                 0.2713,                0.32892,                 0.1884,                0.08294,                 1.8676,                 3.4672,                 1.9296,                 1.8944,                 3.4816,                 1.7758,              0.0018099,              0.0018099,              0.0018099
                     51,                 1.1825,                 1.1339,                 1.3378,                 1.3597,                 1.4715,                 1.3159,                0.28158,                0.30057,                0.19451,                0.09392,                 1.7599,                 2.8636,                 1.7965,                 1.8649,                 3.1269,                 1.6811,               0.001806,               0.001806,               0.001806
                     52,                 1.2022,                 1.1547,                  1.345,                 1.3911,                 1.4784,                 1.3187,                0.36286,                0.36484,                0.26589,                0.12667,                 1.8222,                 2.3427,                 1.8415,                 1.8855,                 2.7788,                 1.6979,               0.001802,               0.001802,               0.001802
                     53,                 1.2174,                 1.1739,                 1.3399,                 1.4036,                 1.5001,                 1.3125,                0.37268,                0.39887,                0.27443,                0.12417,                   1.83,                 2.4044,                 1.8505,                 1.8978,                 2.7258,                 1.7075,               0.001798,               0.001798,               0.001798
                     54,                 1.2115,                 1.1443,                 1.3304,                 1.4056,                 1.4493,                 1.3095,                0.32345,                0.33891,                0.20964,                0.09495,                 1.7994,                 2.4526,                 1.8246,                 1.8893,                 2.8685,                  1.667,              0.0017941,              0.0017941,              0.0017941
                     55,                 1.1856,                 1.1455,                 1.3389,                 1.3732,                 1.4545,                 1.3112,                0.32233,                0.38034,                0.26547,                0.12717,                 1.7867,                 2.3205,                 1.7657,                 1.8565,                 2.7439,                  1.649,              0.0017901,              0.0017901,              0.0017901
                     56,                 1.1687,                 1.1052,                 1.3205,                 1.3574,                  1.412,                 1.3017,                 0.4182,                0.42911,                0.31857,                0.17087,                 1.6536,                 2.0512,                 1.7107,                 1.7222,                 2.4839,                 1.5643,              0.0017862,              0.0017862,              0.0017862
                     57,                 1.1862,                 1.1211,                 1.3427,                 1.3584,                 1.4332,                  1.321,                 0.3037,                 0.3735,                0.24873,                0.11779,                 1.7823,                 2.3199,                  1.803,                  1.834,                 2.6668,                 1.6711,              0.0017822,              0.0017822,              0.0017822
                     58,                 1.1511,                 1.1075,                 1.3101,                 1.3223,                 1.4013,                 1.2887,                0.32424,                0.38752,                0.26111,                0.13052,                 1.7212,                 2.3638,                 1.7593,                 1.8049,                 2.6997,                 1.6593,              0.0017782,              0.0017782,              0.0017782
                     59,                 1.1557,                  1.075,                 1.3105,                 1.3424,                  1.392,                 1.2925,                0.37903,                0.30693,                0.25655,                0.12626,                 1.7395,                 2.5059,                 1.8175,                 1.8413,                 2.6797,                 1.7164,              0.0017743,              0.0017743,              0.0017743
